nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;5.938;0.109;0;0;0.109
100;8.268;0.263;0.169;0;0.094
150;7.589;0.173;0.047;0.016;0.11
200;14.443;0.188;0.094;0.016;0.078
250;23.77;0.173;0.079;0;0.094
300;21.829;0.078;0.078;0;0
350;28.565;0.141;0.125;0.016;0
400;26.456;0.19;0.159;0.015;0.016
450;34.868;0.219;0.203;0.016;0
500;34.944;0.52;0.364;0.093;0.063
550;33.807;0.565;0.44;0.11;0.015
600;18.807;0.666;0.531;0.135;0
650;40.598;1.047;0.813;0.156;0.078
700;41.913;0.906;0.719;0.187;0
750;43.383;1.125;0.843;0.204;0.078
800;46.679;1.172;0.954;0.218;0
850;51.829;1.343;1.093;0.25;0
900;61.061;1.58;1.25;0.284;0.046
950;56.527;1.766;1.422;0.328;0.016
1000;79.24;3.022;2.647;0.344;0.031
1100;79.637;2.476;2.023;0.422;0.031
1200;84.408;2.629;2.107;0.522;0
1300;76.774;4.633;4.008;0.593;0.032
1400;81.507;3.64;2.859;0.703;0.078
1500;85.772;4.141;3.313;0.828;0
1600;105.892;5.781;4.812;0.969;0
1700;118.797;6.762;5.557;1.127;0.078
1800;115.378;6.047;4.719;1.266;0.062
1900;124.746;7.188;5.299;1.811;0.078
2000;126.046;8.238;6.517;1.69;0.031
2100;124.854;9.968;8.328;1.625;0.015
2200;130.192;9.051;7.129;1.844;0.078
2300;140.869;10.053;8.068;1.985;0
2400;168.786;12.908;10.861;2.031;0.016
2500;179.863;11.669;9.388;2.265;0.016
2600;177.773;14.823;12.197;2.626;0
2700;171.943;14.491;10.992;3.499;0
2800;198.031;16.312;13.077;3.063;0.172
2900;215.566;16.403;13.081;3.306;0.016
3000;199.748;19.497;15.662;3.742;0.093
