nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout
6160;-1;106.48;106.295;0.185;0.0;1;-1;0.0;-1;56.0;61.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.42;106.295;0.125;0.0;2;-1;0.0;-1;100.0;184.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.453;106.295;0.154;0.004;3;-1;0.0;-1;107.0;247.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.431;106.295;0.136;0.0;4;-1;0.0;-1;158.0;304.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.46300000000001;106.295;0.164;0.004;5;-1;0.0;-1;171.0;356.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.436;106.295;0.131;0.01;6;-1;0.0;-1;199.0;422.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.44000000000001;106.295;0.135;0.01;7;-1;0.0;-1;207.0;441.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.43;106.295;0.132;0.003;8;-1;0.0;-1;223.0;534.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.417;106.295;0.113;0.009;9;-1;0.0;-1;236.0;587.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.42399999999999;106.295;0.112;0.017;10;-1;0.0;-1;238.0;594.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.44300000000001;106.295;0.111;0.037;11;-1;0.0;-1;241.0;597.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.488;106.295;0.109;0.084;12;-1;0.0;-1;262.0;662.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.58600000000001;106.295;0.105;0.186;13;-1;0.0;-1;292.0;695.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;106.813;106.295;0.111;0.407;14;-1;0.0;-1;293.0;696.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;107.293;106.295;0.104;0.894;15;-1;0.0;-1;295.0;700.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;109.159;106.295;0.105;2.759;16;-1;0.0;-1;295.0;702.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;112.638;106.295;0.148;6.195;17;-1;0.0;-1;295.0;704.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;119.441;106.295;0.142;13.004;18;-1;0.0;-1;295.0;705.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;130.273;106.295;0.112;23.866;19;-1;0.0;-1;310.0;725.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;152.726;106.295;0.149;46.282;20;-1;0.0;-1;312.0;729.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;212.094;106.295;0.114;105.685;21;-1;0.0;-1;322.0;741.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;379.61199999999997;106.295;0.163;273.154;22;-1;0.0;-1;337.0;757.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;614.357;106.295;0.214;507.848;23;-1;0.0;-1;405.0;852.0;2.0;6.52711038961039;6160.0;40207.0;-1;0.0
6160;-1;-1.0;106.295;0.106;710.07;24;-1;0.0;-1;422.0;957.0;2.0;6.52711038961039;6160.0;40207.0;-1;1.0
