nodes;Pipe 1;Pipe 2;reduction;kernel;hs_st
198;11.205;0.085;0.070;0.015;0.000
199;14.975;0.131;0.1;0.031;0.000
200;11.108;0.186;0.170;0.016;0.000
200;12.114;0.086;0.070;0.016;0.000
200;12.094;0.092;0.077;0.015;0.000
200;10.907;0.105;0.074;0.015;0.016
200;15.124;0.118;0.087;0.031;0.000
200;12.887;0.112;0.081;0.031;0.000
200;15.009;0.119;0.088;0.031;0.000
200;14.942;0.152;0.120;0.032;0.000
200;15.535;0.120;0.089;0.031;0.000
200;14.64;0.133;0.102;0.031;0.000
200;14.58;0.131;0.100;0.031;0.000
200;15.157;0.117;0.085;0.032;0.000
200;15.069;0.163;0.117;0.046;0.000
200;14.485;0.128;0.096;0.032;0.000
200;14.081;0.090;0.075;0.015;0.000
200;14.965;0.132;0.100;0.032;0.000
200;14.629;0.142;0.111;0.031;0.000
200;14.67;0.152;0.105;0.031;0.016
200;13.345;0.137;0.090;0.047;0.000
200;11.786;0.102;0.086;0.016;0.000
200;14.475;0.156;0.110;0.031;0.015
200;14.621;0.111;0.095;0.016;0.000
200;15.934;0.152;0.105;0.047;0.000
200;15.445;0.141;0.110;0.031;0.000
200;15.16;0.162;0.115;0.047;0.000
450;49.803;20.581;11.815;8.766;0.000
1150;115.816;440.815;250.762;190.038;0.015
1534;150.142;1109.844;624.952;484.882;0.010
1534;150.397;1175.958;616.843;559.100;0.015
2980;174.089;10.040;9.243;0.797;0.000
2980;186.62;10.623;9.826;0.797;0.000
3523;170.533;13.611;12.466;1.145;0.000
3523;231.197;13.482;12.341;1.141;0.000
4227;237.816;19.742;18.133;1.593;0.016
4410;244.152;20.250;18.921;1.329;0.000
4579;194.935;23.477;21.446;2.031;0.000
4768;276.581;24.984;22.972;1.997;0.015
5066;214.19;29.244;26.947;2.297;0.000
6160;533.651;156.523;105.070;51.453;0.000
6795;465.466;48.287;45.208;3.079;0.000
7030;300.35;55.679;51.085;4.579;0.015
7400;354.427;62.485;57.438;5.047;0.000
8794;1068.705;87.787;85.032;2.740;0.015
9877;910.08;138.770;119.378;19.377;0.015
